In bed at,Until,Duration,Asleep,Time awake in bed,Fell asleep in,Quality sleep,Deep sleep,Heartrate,Tags,Notes
2019-10-23 22:15:00,2019-10-24 05:28:00,7:13,7:13,0,--,5:19,1:32,63,--,--
2019-10-24 23:06:00,2019-10-25 06:02:00,6:56,6:37,19,--,5:43,3:26,62,--,--
2019-10-25 22:15:00,2019-10-26 05:03:00,6:48,6:48,0,--,4:50,2:00,65,--,--
2019-10-26 20:53:00,2019-10-27 06:44:00,9:51,9:19,32,--,6:51,2:35,60,--,--
2019-10-27 20:45:00,2019-10-28 05:00:00,8:15,8:00,15,--,5:34,1:45,62,--,--
2019-10-28 22:30:00,2019-10-29 04:38:00,6:08,6:08,0,--,4:06,1:01,64,--,--
2019-10-29 20:58:00,2019-10-30 05:00:00,8:02,6:53,1:09,--,4:40,1:28,65,--,--
2019-10-30 22:31:00,2019-10-31 06:41:00,8:10,6:27,1:43,--,4:36,1:52,69,--,--
2019-10-31 21:43:00,2019-11-01 05:28:00,7:45,7:45,0,--,5:22,30,73,--,--
2019-11-01 22:25:00,2019-11-02 04:59:00,6:34,6:34,0,--,5:04,1:50,63,--,--
2019-11-02 21:12:00,2019-11-03 04:06:00,8:57,8:36,21,--,5:21,1:30,64,--,--
2019-11-03 21:00:00,2019-11-04 04:32:00,7:32,7:19,13,--,4:57,1:30,67,--,--
2019-11-04 21:27:00,2019-11-05 03:25:00,5:58,5:58,0,--,4:31,1:44,67,--,--
2019-11-05 21:30:00,2019-11-06 05:00:00,7:30,7:29,1,--,5:01,1:01,69,--,--
2019-11-06 22:00:00,2019-11-07 05:46:00,7:46,7:21,25,--,5:32,2:16,68,--,--
2019-11-07 22:18:00,2019-11-08 07:11:00,9:33,9:30,3,--,6:52,2:56,66,--,--
2019-11-08 21:30:00,2019-11-09 05:37:00,8:07,7:56,11,--,6:07,2:33,68,--,--
2019-11-09 22:42:00,2019-11-10 05:19:00,6:37,6:37,0,--,4:55,1:42,63,--,--
2019-11-10 22:05:00,2019-11-11 05:28:00,7:23,7:23,0,--,5:41,2:02,62,--,--
2019-11-11 21:28:00,2019-11-12 05:02:00,7:34,7:21,13,--,5:06,1:50,65,--,--
2019-11-12 21:45:00,2019-11-13 05:09:00,7:24,7:08,16,--,5:12,2:02,67,--,--
2019-11-13 20:45:00,2019-11-14 03:38:00,6:53,6:53,0,--,4:52,2:02,64,--,--
2019-11-14 21:00:00,2019-11-15 05:28:00,8:28,8:11,17,--,5:14,1:16,68,--,--
2019-11-15 22:45:00,2019-11-16 05:00:00,6:15,6:15,0,--,4:47,2:30,58,--,--
2019-11-16 20:31:00,2019-11-17 04:59:00,8:28,8:27,1,--,5:17,1:01,62,--,--
2019-11-17 20:15:00,2019-11-18 05:01:00,8:46,8:31,15,--,5:36,1:45,61,--,--
2019-11-18 21:15:00,2019-11-19 05:47:00,8:32,8:14,18,--,5:00,1:17,64,--,--
2019-11-19 22:42:00,2019-11-20 06:00:00,7:18,6:41,37,--,4:35,1:32,64,--,--
2019-11-20 21:15:00,2019-11-21 06:00:00,8:45,8:20,25,--,6:27,1:46,64,--,--
2019-11-21 20:57:00,2019-11-22 05:01:00,8:04,8:00,4,--,5:30,2:30,62,--,--
2019-11-22 21:00:00,2019-11-23 05:00:00,10:49,8:39,2:10,--,5:40,2:05,66,--,--
2019-11-23 20:00:00,2019-11-24 07:21:00,12:05,11:39,26,--,7:05,45,56,--,--
2019-11-24 20:00:00,2019-11-25 05:07:00,9:07,8:04,1:03,--,4:27,--,60,--,--
2019-11-25 20:45:00,2019-11-26 05:27:00,8:42,8:27,15,--,5:35,1:44,64,--,--
2019-11-26 21:17:00,2019-11-27 05:15:00,7:58,6:47,1:11,--,4:13,1:00,67,--,--
2019-11-27 21:15:00,2019-11-28 05:34:00,8:19,7:16,1:03,--,5:23,2:35,68,--,--
2019-11-28 21:30:00,2019-11-29 06:08:00,8:38,7:58,40,--,5:11,1:01,64,--,--
2019-11-29 22:58:00,2019-11-30 06:13:00,7:15,7:06,9,--,5:21,1:34,62,--,--
2019-11-30 22:26:00,2019-12-01 05:01:00,6:35,6:25,10,--,4:15,--,60,--,--
2019-12-01 20:00:00,2019-12-02 06:07:00,10:07,9:04,1:03,--,5:45,1:17,60,--,--
2019-12-02 22:03:00,2019-12-03 05:47:00,7:44,6:46,58,--,4:09,1:30,61,--,--
2019-12-03 23:13:00,2019-12-04 05:12:00,5:59,5:52,7,--,4:22,1:04,66,--,--
2019-12-05 20:58:00,2019-12-06 06:05:00,9:07,9:04,3,--,6:27,2:50,65,--,--
2019-12-06 21:30:00,2019-12-07 04:57:00,7:27,7:21,6,--,4:30,1:16,65,--,--
2019-12-07 20:01:00,2019-12-08 05:17:00,9:16,8:45,31,--,6:27,2:34,58,--,--
2019-12-08 20:15:00,2019-12-09 05:01:00,8:46,7:57,49,--,5:23,1:47,64,--,--
